id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
HGNC:17646,GENE,NGLY1,CDDG|CDG1V|N-glycanase 1|NGLY1|PNG1|PNGase,N-glycanase 1,gene of the species Homo sapiens
UniProt:Q96IV0,GENE,N-glycanase 1,N-glycanase 1|NGLY1|Peptide:N-glycanase,N-glycanase 1,mammalian protein found in Homo sapiens
HP:0000297,DISO,Facial hypotonia,Hypotonic facies ,Facial hypotonia,Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve).
HP:0004325,DISO,Decreased body weight,Low weight,Decreased body weight,Reduction inexisting body weight.
HP:0000275,DISO,Narrow face,Thin facies,Narrow face,"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective)."
HP:0009938,DISO,Sunken cheeks,Hollow cheeks,Sunken cheeks,Lack or loss of the soft tissues between the zygomata and mandible.
HP:0000463,DISO,Anteverted nares,Upturned nasal tip,Anteverted nares,Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip).
HP:0000508,DISO,ptosis,blepharoptosis|drooping eyelid,NA,An eye disease characterized by the drooping or falling of the upper or lower eyelid.
HP:0000248,DISO,brachycephaly,HP:0000248 ,NA,NA
HP:0005484,DISO,Postnatal microcephaly,Acquired microcephaly,Postnatal microcephaly,"Microcephaly (HP:0000252) with onset in the postnatal period, that is, the head circumference is in the normal range at birth but falls behind normal values later in development."
HP:0004302,DISO,Functional motor problems,Motor deficits,Functional motor problems,NA
HP:0010841,DISO,Multifocal epileptiform discharges,Multifocal epileptiform activity,Multifocal epileptiform discharges,A abnormality in cerebral electrical activity recorded along the scalp by electroencephalography (EEG) and being identified at multiple locations (foci).
HP:0002072,DISO,choreatic disease,choreatic disease|hereditary chorea|chorea,choreatic disease,"A movement disease characterized by brief, semi-directed, irregular movements that not repetitive or rhythmic, but appear to flow from one muscle to the next."
HP:0002305,DISO,Athetosis,HP:0002305 ,NA,NA
HP:0001336,DISO,Myoclonus,clonic convulsions,NA,symptom
HP:0002345,DISO,Action tremor,Ataxic tremor,Action tremor,"A tremor present when the limbs are active, either when outstretched in a certain position or throughout a voluntary movement."
HP:0001332,DISO,dystonia,dystonic disease|dystonia|Dystonia,NA,Neurological movement disorder
HP:0001310,DISO,Dysmetria,Dysmetric movements,NA,A type of ataxia characterized by the inability to carry out movements with the correct range and motion across the plane of more than one joint related to incorrect estimation of the distances required for targeted movements.
HP:0012448,DISO,Delayed myelination,HP:0012448,Delayed myelination,Delayed myelination.
HP:0012444,DISO,Brain atrophy,Cerebral or brain atrophy,Brain atrophy,Partial or complete wasting (loss) of brain tissue that was once present.
HP:0001272,DISO,Cerebellar atrophy,Degeneration of cerebellum,Cerebellar atrophy,Atrophy (wasting) of the cerebellum.
HP:0012705,DISO,Abnormal metabolic brain imaging by MRS,Abnormalities in brain MRS-measured metabolites,Abnormal metabolic brain imaging by MRS,An anomaly of metabolism in the brain identified by magnetic resonance spectroscopy (MRS).
HP:0012706,DISO,Elevated brain choline level by MRS,High choline in brain by MRS,Elevated brain choline level by MRS,An increase in the level of choline-containing compounds in the brain identified by magnetic resonance spectroscopy (MRS).
HP:0003785,DISO,Decreased CSF homovanillic acid,Decreased CSF HVA,Decreased CSF homovanillic acid,Decreased concentration of homovanillic acid (HVA) in the cerebrospinal fluid. HVA is a metabolite of dopamine.
HP:0040209,DISO,Decreased CSF biopterin level,Low CSF BH4 (tetrahydrobiopterin),Decreased CSF biopterin level,Decreased concentration of biopterin in the cerebrospinal fluid (CSF).
HP:0000577,DISO,exotropia,"Divergent Strabismus|Divergent concomitant strabismus|Divergent concomitant strabismus (disorder)|Exotropia (disorder)|Exotropia NOS (disorder)|Exotropia, unspecified|Unspecified exotropia (disorder)",NA,Human disease
HP:0000565,DISO,esotropia,Convergence in manifest squint (finding)|Internal Strabismus|crossed eyes|Convergence in manifest squint,NA,Esotropia is a strabismus in which the eye turns inward toward the nose.
HP:0011496,DISO,corneal neovascularization,"Corneal neovascularization (disorder)|Corneal neovascularization NOS (disorder)|Corneal neovascularization, unspecified|Unspecified corneal neovascularization (disorder)",corneal neovascularization,Human disease
HP:0000648,DISO,optic atrophy,Atrophy of optic disc (disorder)|Unspecified optic atrophy (disorder)|atrophy of optic disc,optic atrophy,Human disease
HP:0008051,DISO,Abnormality of retinal pigmentation,Retinal pigmentary changes,Abnormality of retinal pigmentation,Human phenotype
HP:0000548,DISO,Cone/cone-rod dystrophy,Cone distrophy,Cone/cone-rod dystrophy,Human phenotype
HP:0010536,DISO,central sleep apnea,central sleep apnea|primary central sleep apnea|central sleep apnea syndrome,central sleep apnea,"A sleep apnea that is characterized by a malfunction of the basic neurological controls for breathing rate and the failure to give the signal to inhale, causing the individual to miss one or more cycles of breathing."
HP:0002870,DISO,obstructive sleep apnea,obstructive sleep apnea syndrome,obstructive sleep apnea,"A sleep apnea that is characterized by repeated collapse and obstruction of the upper airway during sleep, which results in reduced airflow (hypopnea) or complete airflow cessation (apnea), oxygen desaturation, and arousals from sleep."
HP:0001744,DISO,Splenomegaly,NA,NA,NA
HP:0001397,DISO,fatty liver disease,fatty liver disease|Fatty change of liver|Steatosis of liver (disorder)|alcoholic fatty liver|hepatic lipidosis|fatty degeneration of the liver|steatosis of the liver|Fatty liver disease,fatty liver disease,A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
HP:0002240,DISO,hepatomegaly,enlarged liver|swollen liver,NA,symptom
HP:0012340,DISO,Decreased resting energy expenditure,Low resting energy expenditure,Decreased resting energy expenditure,An reduction in the number of calories used per unit time.
HP:0003146,DISO,Hypocholesterolemia,Cholesterol depletion,NA,An decreased concentration of cholesterol in the blood.
HP:0002750,DISO,Delayed skeletal maturation,Delayed bone age,Delayed skeletal maturation,A decreased rate of skeletal maturation. Delayed skeletal maturation can be diagnosed on the basis of an estimation of the bone age from radiographs of specific bones in the human body.
HP:0001382,DISO,Joint hypermobility,NA,Joint hypermobility,The ability of a joint to move beyond its normal range of motion.
HP:0002673,DISO,Coxa valga,NA,Coxa valga,NA
HP:0001822,DISO,Bunion,Hallux valgus,NA,deformity characterized by lateral deviation of the great toe
HP:0003031,DISO,Ulnar bowing,NA,Ulnar bowing,Bending of the diaphysis (shaft) of the ulna.
HP:0006009,DISO,Broad phalanx,Widened phalanges,Broad phalanx,Increased side-to-side width of one or more phalanges of the fingers or toes.
HP:0001783,DISO,Broad metatarsal,Shortened and widened metatarsals,Broad metatarsal,Increased side-to-side width of a metatarsal bone.
HP:0000966,DISO,hypohidrosis,Hypohidrosis (disorder)|Oligohidrosis,NA,Human disease
HP:0031107,DISO,Decreased fibular diameter,Thin fibula|Thinning of the fibulas,Decreased fibular diameter,Human phenotype
HP:0012785,DISO,Flexion contracture of finger,Flexion deformity of finger,Flexion contracture of finger,Human phenotype
HP:0031051,DISO,Tarsal sclerosis,Sclerosis of the tarsal bones,Tarsal sclerosis,Human phenotype
HP:0030043,DISO,Hip Subluxation,Partial hip dislocation,Hip Subluxation,Human phenotype
HP:0001929,DISO,Reduced factor XI activity,Low factor XI activity|Factor XI deficiency,Reduced factor XI activity,Human phenotype
HP:0011858,DISO,Reduced factor IX activity,Low factor IX activity,Reduced factor IX activity,Human phenotype
HP:0012201,DISO,Reduced prothrombin activity,Reduced factor II activity|Low factor II activity,Reduced prothrombin activity,Human phenotype
HP:0011900,DISO,Hypofibrinogenemia,Low fibrinogen activity,NA,Human phenotype
HP:0005543,DISO,Reduced protein C activity,Low protein C activity|Protein C deficiency,Reduced protein C activity,Human phenotype
HP:0001649,DISO,tachycardia,tachyarrhythmia|increased pulse rate|Increased heart rate,NA,rapid heartrate that exceeds the range of the normal resting heartrate for age.
HP:0000539,DISO,Abnormality of refraction,Refractive errors,Abnormality of refraction,Human phenotype
HP:0007141,DISO,Sensorimotor neuropathy,Sensorimotor peripheral neuropathy,Sensorimotor neuropathy,Human phenotype
HP:0007327,DISO,Mixed demyelinating and axonal polyneuropathy,Axonal sensorimotor polyneuropathy with demyelinative features,Mixed demyelinating and axonal polyneuropathy,Human phenotype
HP:0025455,DISO,Decreased CSF 5-hydroxyindolacetic acid,Decreased CSF 5-HIAA,Decreased CSF 5-hydroxyindolacetic acid,Human phenotype
HP:0030978,DISO,Decreased CSF/serum albumin ratio,Low CSF/serum albumin ratio,Decreased CSF/serum albumin ratio,Human phenotype
HP:0025458,DISO,Decreased CSF albumin,Low CSF albumin,Decreased CSF albumin,Human phenotype
HP:0025457,DISO,Decreased CSF total protein,Low CSF total protein,Decreased CSF total protein,Human phenotype
HP:0500021,DISO,Reduced brain gamma-aminobutyric acid level by MRS,Deficit of gamma-aminobutyric acid (Glx) in brain by MRS,Reduced brain gamma-aminobutyric acid level by MRS,Human phenotype
HP:0025460,DISO,High myoinositol in brain by MRS,High myo-inositol in brain by MRS,High myoinositol in brain by MRS,An elveated level of myoinositol in the brain identified by magnetic resonance spectroscopy (MRS).
HP:0100924,DISO,Sclerosis of toe phalanx,Sclerosis of the phalanges of the toes,Sclerosis of toe phalanx,Human phenotype
HP:0012370,DISO,visible zygomatic arches,NA,visible zygomatic arches,Human phenotype
HP:0031058,DISO,impaired daily living skills,NA,impaired daily living skills,Human phenotype
HP:0012708,DISO,low NAA in brain by MRS,NA,low NAA in brain by MRS,Human phenotype
HP:0030980,DISO,deficit of glutamine in brain by MRS,NA,deficit of glutamine in brain by MRS,Human phenotype
HP:0031161,DISO,deficit of glutamate in brain by MRS,NA,deficit of glutamate in brain by MRS,Human phenotype
HP:0012333,DISO,abnormal QSWEATs,NA,abnormal QSWEATs,Human phenotype
HP:0030001,DISO,lagopthalmous,NA,NA,Human phenotype
HP:0030906,DISO,persistent nutritive suckle swallow,NA,persistent nutritive suckle swallow,Human phenotype
HP:0031146,DISO,poor oral bolus,NA,poor oral bolus,Human phenotype
HP:0031162,DISO,pharyngeal swallow response delays,NA,pharyngeal swallow response delays,Human phenotype
HP:0002015,DISO,Premature spillage,NA,Premature spillage,Human phenotype
HP:0005216,DISO,developmental delay in mastication,NA,developmental delay in mastication,Human phenotype
HP:0031144,DISO,coarse or inhomogeneous liver texture,NA,coarse or inhomogeneous liver texture,Human phenotype
HP:0000938,DISO,low femoral bone density,NA,low femoral bone density,Human phenotype
HP:0031164,DISO,growth arrest lines,NA,growth arrest lines,Human phenotype
HP:0003835,DISO,dislocations or subluxations involving the shoulder joints ,NA,dislocations or subluxations involving the shoulder joints ,Human phenotype
HP:0003174,DISO,prominent apophyseal bone formation in the ileac crests and ischia,NA,prominent apophyseal bone formation in the ileac crests and ischia,Human phenotype
DOID:2476,DISO,hereditary spastic paraplegia,familial spastic paraplegia|French settlement disease|hereditary spastic paraparesis|HSMN V|Strumpell-Lorrain disease|Strümpell-Lorrain disease,hereditary spastic paraplegia,A paraplegia that is characterized by progressive stiffness and contraction (spasticity) in the lower limbs.
DOID:11589,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Riley-Day syndrome,Human disease
DOID:10595,DISO,Charcot–Marie–Tooth disease,Charcot Marie Tooth muscular atrophy|Charcot-Marie-Tooth disease|Charcot-Marie-Tooth disease、C-M-T|CMT - Charcot-Marie-Tooth disease|Peroneal muscular atrophy,Charcot–Marie–Tooth disease,"A neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm."
DOID:5212,DISO,congenital disorder of glycosylation,Carbohydrate-deficient glycoprotein syndrome,congenital disorder of glycosylation,A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.
DOID:0050602,DISO,triple-A syndrome,Allgrove Syndrome|triple-A syndrome|Achalasia-Addisonianism-Alacrimia syndrome,triple-A syndrome,Human disease
DOID:0060308,DISO,autosomal recessive non-syndromic intellectual disability,autosomal recessive mental retardation|autosomal recessive non-syndromic mental retardation,autosomal recessive non-syndromic intellectual disability,A non-syndromic intellectual disability characterized by an autosomal recessive inheritance pattern.
EC:3.5.1.52,GENE,N-glycanase 1,N-glycanase 1|NGLY1|Peptide:N-glycanase,N-glycanase 1,mammalian protein found in Homo sapiens
GO:0071712,PHYS,ER-associated misfolded protein catabolic process,endoplasmic reticulum-associated misfolded protein catabolic process|endoplasmic reticulum-associated misfolded protein catabolism|ER-associated misfolded protein breakdown|ER-associated misfolded protein catabolism|ER-associated misfolded protein degradation|proteasomal protein catabolism of misfolded ER proteins,ER-associated misfolded protein catabolic process,The chemical reactions and pathways resulting in the breakdown of misfolded proteins transported from the endoplasmic reticulum and targeted to cytoplasmic proteasomes for degradation.
GO:0097466,PHYS,glycoprotein ERAD pathway,ER-associated glycoprotein degradation|glycoprotein ERAD|gpERAD,glycoprotein ERAD pathway,"An ERAD pathway whereby endoplasmic reticulum (ER)-resident glycoproteins are targeted for degradation. Includes differential processing of the glycoprotein sugar chains, retrotranslocation to the cytosol and degradation by the ubiquitin-proteasome p"
GO:0016567,PHYS,protein ubiquitination,GO:0016567|protein ubiquitinylation|protein ubiquitylation|ubiquitination,protein ubiquitination,The process in which one or more ubiquitin groups are added to a protein.
GO:0000502,GENE,proteasome complex,GO:0000502|proteasome,proteasome complex,"A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that a"
GO:0005737,ANAT,cytoplasm,GO:0005737,NA,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO:0005794,ANAT,Golgi apparatus,Golgi|GO:0005794|Golgi body|Golgi complex,Golgi apparatus,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker mem"
HP:0000007,PHYS,Autosomal recessive inheritance,Autosom recessive inheritance|Autosomal Recessive Inheritance|Autosomal recessive|Autosomal recessive form|Autosomal recessive inheritance|Autosomal recessive inheritance (qualifier value)|Autosomal recessive|autosomal inheritance recessive|autosomal recessive|autosomal recessive inheritance|autosomal recessives|recessive autosomal inheritance,NA,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)."
HP:0000252,DISO,microcephaly,Microcephalus|microencephaly,NA,Human disease
HP:0000365,DISO,deafness,Hearing impairment|hearing loss,NA,partial or total inability to hear
HP:0000657,DISO,Oculomotor apraxia,Cogan’s Ocular Motor Apraxia|Saccadic Initiation Failure|SIF|OMA|Ocular apraxia,Oculomotor apraxia,"The absence or defect of controlled, voluntary, and purposeful eye movement"
HP:0000726,DISO,dementia,HP:0000726,NA,mental disease
HP:0001251,DISO,cerebellar ataxia,HP:0001251,cerebellar ataxia,A cerebellar disease characterized by ataxia originating in the cerebellum.
HP:0001257,DISO,spasticity,Muscle Spasticity,NA,"muscle paralysis, increased tendon reflex activity, hypertonia"
HP:0001284,DISO,Areflexia,HP:0001284,NA,NA
HP:0001392,DISO,Liver storage or vacuolization,Hepatocyte cytoplasmic storage material or vacuolization,Liver storage or vacuolization,NA
HP:0001508,DISO,Failure to thrive,decreased growth rate|Pediatric failure to thrive,Failure to thrive,NA
HP:0001511,DISO,Intrauterine growth retardation,IUGR (intrauterine growth restriction),Intrauterine growth retardation,Intrauterine growth restriction (IUGR) refers to the poor growth of a baby while in the mother's womb during pregnancy.
HP:0002136,DISO,Broad-based gait,wide-based gait,Broad-based gait,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.
HP:0002151,DISO,Increased serum lactate,Hyperlactatemia,Increased serum lactate,"Increased levels of lactate in the blood, without evidence of lactic acidosis or shock."
HP:0002187,DISO,intellectual disability,ID|general learning disability|IDD|intellectual developmental disability|mental retardation|syndromic intellectual disability,intellectual disability,generalized neurodevelopmental disorder
HP:0002353,DISO,EEG (electroencephalography) abnormalities, Electroencephalogram abnormal|EGG abnormalities,EEG (electroencephalography) abnormalities,"Abnormality observed by electroencephalogram (EEG), which is used to record of the brain's spontaneous electrical activity from multiple electrodes placed on the scalp."
HP:0002376,DISO,Developmental regression,HP:0002376,Developmental regression,"Loss of developmental skills, as manifested by loss of developmental milestones."
HP:0002571,DISO,achalasia,achalasia of cardia|achalasia of esophagus|achalasia of esophagus (disorder)|cardiospasm|esophageal achalasia|hypertensive lower esophageal sphincter|hypertensive lower esophageal sphincter (disorder)|Lack of reflex relaxation of lower oesophageal sphincter,NA,An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.
HP:0003409,DISO,Distal sensory impairment of all modalities,distal sensory loss,Distal sensory impairment of all modalities,NA
HP:0006254,DISO,Elevated alpha-fetoprotein,Elevated AFP,Elevated alpha-fetoprotein,state where Alpha-fetoprotein levels are outside of the reference range in the blood or amniotic fluid
HP:0006579,DISO,neonatal jaundice,neonatal hyperbilirubinemia|neonatal icterus,neonatal jaundice,"A pigmentation disease characterized by a high level of bilirubin in the blood, causing a yellowing of the skin and other tissues of a newborn infant."
HP:0008259,DISO,Adrenocorticotropin receptor defect,adrenocorticotropin hormone-resistant adrenal insufficiency,Adrenocorticotropin receptor defect,NA
HP:0010605,DISO,meibomian cyst,Chalazion|meibomian gland lipogranuloma,meibomian cyst,"A blepharitis that is characterized as a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland, usually on the upper eyelid."
MESH:D055571,PHYS,Secretory pathway,MESH:D055571,Secretory pathway,NA
MESH:D006023,PHYS,misfolded glycoprotein,glycoprotein MESH:D006023,misfolded glycoprotein,NA
HP:0002828,DISO,Contracture,multiple contractures,NA,NA
HGNC:16947,GENE,ERLIN1,C10orf69|ER lipid raft associated 1|Erlin-1|ERLIN1|KE04|KEO4|SPFH1|SPG62,ER lipid raft associated 1,gene of the species Homo sapiens
HGNC:1356,GENE,ERLIN2,C8orf2|ER lipid raft associated 2|Erlin-2|ERLIN2|NET32|SPFH2|SPG18,ER lipid raft associated 2,gene of the species Homo sapiens
HGNC:6823,GENE,MAN1B1,MANA-ER|ERMAN1|ERManI|MAN1B1|mannosidase alpha class 1B member 1|MRT15,mannosidase alpha class 1B member 1,gene of the species Homo sapiens
WormBase:WBGene00010160,GENE,PNG1,PNG1|YPL096W,chromatin modification-related protein,gene of the species Saccharomyces cerevisiae S288c
HGNC:22932,GENE,GMPPB,GDP-mannose pyrophosphorylase B|GMPPB|MDDGC14|MDDGA14|MDDGB14,GDP-mannose pyrophosphorylase B,gene of the species Homo sapiens
HGNC:22923,GENE,GMPPA,GMPPA|GDP-mannose pyrophosphorylase A|AAMR,GDP-mannose pyrophosphorylase A,gene of the species Homo sapiens
NCBITaxon:6239,LIVB,Caenorhabditis elegans,c. elegans,Caenorhabditis elegans,NA
HGNC:12666,GENE,VCP,IBMPFD|p97|TERA|VCP|valosin containing protein|ALS14|CMT2Y|HEL-220|HEL-S-70|IBMPFD1|Valosin-containing protein,valosin containing protein,gene of the species Homo sapiens
HGNC:13666,GENE,AAAS,AAA|AAAS|AAASb|ADRACALA|ADRACALIN|ALADIN|aladin WD repeat nucleoporin|GL003,aladin WD repeat nucleoporin,gene of the species Homo sapiens
HGNC:25358,GENE,RNF170,RNF170|ADSA|ring finger protein 170|sensory ataxia 1 (autosomal dominant)|SNAX1,ring finger protein 170,gene of the species Homo sapiens
HP:0500032,DISO,Aberrant neuronal branching,Neuronal branching abnormalities,Aberrant neuronal branching,NA
OMIM:223900,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Riley-Day syndrome,Human disease
OMIM:231550,DISO,triple-A syndrome,Achalasia-Addisonianism-Alacrimia syndrome|Allgrove Syndrome|triple-A syndrome,triple-A syndrome,Human disease
OMIM:608984,DISO,autosomal dominant sensory ataxia,ADSA,autosomal dominant sensory ataxia,NA
OMIM:614653,DISO,hereditary sensory neuropathy,"amilial dysautonomia, type II|congenital insensitivity to pain|familial dysautonomia, type II|hereditary sensory and autonomic neuropathy|Hereditary sensory and autonomic neuropathy (disorder)|hereditary sensory neuropathy",hereditary sensory neuropathy,congenital disorder of nervous system
OMIM:615273,DISO,NGLY1-deficiency,congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG|Alacrimia-choreoathetosis-liver dysfunction syndrome,NA,Human disease
OMIM:615510,DISO,"alacrima, achalasia, and mental retardation syndrome",AAMR,"alacrima, achalasia, and mental retardation syndrome",NA
Orphanet:314381,DISO,Hereditary sensory and autonomic neuropathy type 6,HSAN6,Hereditary sensory and autonomic neuropathy type 6,NA
Orphanet:869,DISO,triple-A syndrome,Triple A ,triple-A syndrome,NA
REACT:R-HSA-532668,PHYS,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Reactome:R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,NA
REACT:R-HSA-8850590,GENE,Deglycosylation complex,Reactome:R-HSA-8850590,Deglycosylation complex,NA
REACT:R-HSA-8850594,PHYS,Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins,Reactome:R-HSA-8850594,Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins,NA
REACT:R-HSA-8866522,GENE,ERLIN1:ERLIN2 complex,Reactome:R-HSA-8866522,ERLIN1:ERLIN2 complex,NA
REACT:R-HSA-8866531,GENE,ERAD complex [endoplasmic reticulum membrane],Reactome:R-HSA-8866531,ERAD complex [endoplasmic reticulum membrane],NA
SO:0001587,VARI,Stop Gained,Stop variant,Stop Gained,"A sequence variant whereby at least one base of a codon is changed, resulting in a premature stop codon, leading to a shortened transcript."
EDAM:topic_0820,ANAT,type II transmembrane protein,NA,type II transmembrane protein,NA
UBERON:0000007,ANAT,pituitary gland,NA,pituitary gland,NA
UBERON:0001007,ANAT,human digestive system,NA,human digestive system,NA
UBERON:0002037,ANAT,cerebellum,NA,NA,NA
UBERON:0002369,ANAT,adrenal gland,NA,adrenal gland,NA
UMLS:C0023206,CHEM,Lectin,NA,lectin,NA
UniProt:O75477,GENE,ER lipid raft associated 1,ERLIN1|Endoplasmic reticulum lipid raft-associated protein 1|SPFH domain-containing protein 1|Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1|Protein KE04,ER lipid raft associated 1,mammalian protein found in Homo sapiens
UniProt:O94905,GENE,ER lipid raft associated 2,ERLIN2|Endoplasmic reticulum lipid raft-associated protein 2|SPFH domain-containing protein 2|Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2,ER lipid raft associated 2,mammalian protein found in Homo sapiens
UniProt:Q96K19,GENE,Ring finger protein 170,RNF170|Putative LAG1-interacting protein|RING finger protein 170,Ring finger protein 170,mammalian protein found in Homo sapiens
UniProt:P55072,GENE,Valosin containing protein,VCP|Valosin-containing protein|15S Mg(2+)-ATPase p97 subunit,Valosin containing protein,mammalian protein found in Homo sapiens
UniProt:Q9Y5P6,GENE,GDP-mannose pyrophosphorylase B,GDP-mannose pyrophosphorylase B|GMPPB|GTP-mannose-1-phosphate guanylyltransferase beta,GDP-mannose pyrophosphorylase B,mammalian protein found in Homo sapiens
UniProt:Q9NRG9,GENE,Aladin WD repeat nucleoporin,AAAS|Adracalin,Aladin WD repeat nucleoporin,mammalian protein found in Homo sapiens
UniProt:Q96IJ6,GENE,GDP-mannose pyrophosphorylase A,GMPPA|GDP-mannose pyrophosphorylase A|GTP-mannose-1-phosphate guanylyltransferase alpha|GMPP-alpha,GDP-mannose pyrophosphorylase A,mammalian protein found in Homo sapiens
